encoder_size,experiment_name,model,seed,test_acc,train_acc,transfer,tune_acc
512,r512fwcomp,comp,841.0,0.6138392857142857,0.8745065794179314,False,0.6697916686534882
512,r512fwcomp,comp,2598.0,0.6220238102333886,0.9046052631578948,False,0.6791666686534882
512,r512fwcomp,comp,3463.0,0.640625,0.7909539475252754,False,0.665625
512,r512fwcomp,comp,1954.0,0.6324404776096344,0.7379934215231946,False,0.6729166686534882
512,r512fwcomp,comp,5471.0,0.5944940490382058,0.9468750004705628,False,0.6510416686534881
300,t300fwcomp,comp,663.0,0.6383928571428571,0.8501644738410649,True,0.6979166686534881
300,t300fwcomp,comp,8376.0,0.6287202388048172,0.6935855267863524,True,0.659375
300,t300fwcomp,comp,9442.0,0.6123511918953487,0.9646381578947368,True,0.6854166686534882
300,t300fwcomp,comp,6659.0,0.6287202388048172,0.8202302636284577,True,0.6885416686534882
300,t300fwcomp,comp,7614.0,0.6488095245191029,0.7407894738410649,True,0.6635416686534882
300,t300fwcomp,comp,6600.0,0.6197916673762458,0.7815789478389841,True,0.6604166686534881
300,t300fwcomp,comp,3831.0,0.6421130959476743,0.8062500004705629,True,0.6697916686534882
300,t300fwcomp,comp,587.0,0.6212797633239201,0.7972039478389841,True,0.6666666686534881
300,t300fwcomp,comp,5323.0,0.623511906181063,0.8687500004705629,True,0.6729166686534882
300,t300fwcomp,comp,3201.0,0.6264880959476743,0.7955592109968788,True,0.6729166686534882
300,t300fwcomp,comp,2052.0,0.6428571428571429,0.7577302636284577,True,0.6666666686534881
300,t300fwcomp,comp,1306.0,0.6041666673762458,0.6996710527884332,True,0.665625
300,t300fwcomp,comp,671.0,0.6532738102333886,0.7963815794179314,True,0.6791666686534882
300,t300fwcomp,comp,7802.0,0.6540178571428571,0.8177631583652998,True,0.6760416686534881
300,t300fwcomp,comp,5535.0,0.6212797633239201,0.7947368425758261,True,0.6979166686534881
300,t300fwcomp,comp,3598.0,0.6071428571428571,0.6884868419484088,True,0.671875
300,t300fwcomp,comp,7273.0,0.6331845245191029,0.7004934212094859,True,0.68125
300,t300fwcomp,comp,9074.0,0.6264880959476743,0.7013157896305385,True,0.653125
300,t300fwcomp,comp,2992.0,0.6175595245191029,0.744901315946328,True,0.66875
300,t300fwcomp,comp,2814.0,0.6242559530905315,0.8046052636284577,True,0.665625
300,r300fwcomp,comp,663.0,0.6577380959476743,0.6999999998431456,False,0.678125
300,r300fwcomp,comp,1872.0,0.6183035714285714,0.7065789472115668,False,0.659375
300,r300fwcomp,comp,5887.0,0.6287202388048172,0.7914473688916156,False,0.6854166686534882
300,r300fwcomp,comp,8295.0,0.6428571428571429,0.744901315946328,False,0.6572916686534882
300,r300fwcomp,comp,8376.0,0.6302083347524915,0.8802631583652998,False,0.6760416686534881
300,r300fwcomp,comp,9442.0,0.640625,0.7588815791042227,False,0.667708334326744
300,r300fwcomp,comp,6659.0,0.6175595245191029,0.7062500001568544,False,0.66875
300,r300fwcomp,comp,5667.0,0.6302083347524915,0.8194078952074051,False,0.6822916686534881
300,r300fwcomp,comp,8104.0,0.639136906181063,0.8251644741547736,False,0.678125
300,r300fwcomp,comp,2926.0,0.6309523816619601,0.7161184212094859,False,0.659375
